project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
industrial,Jodhpur,54800,3,165,730,standard,medium,False,low,7,normal,moderate,0,easy,14,strip,29,1020,basic,gentle_slope,210193000.0,741
residential,Udaipur,2800,4,15,150,standard,low,False,low,5,clay,moderate,17,moderate,10.5,pile,4,12,standard,gentle_slope,15828000.0,150
industrial,Chennai,62500,2,231,730,premium,medium,False,high,10,sandy,deep,0,moderate,18,isolated,33,2211,premium,hilly,728198000.0,745
residential,Guntur,6900,2,52,260,economy,low,False,moderate,2,marshy,moderate,21,moderate,14,raft,11,32,basic,gentle_slope,20361000.0,257
commercial,Thrissur,28900,1,87,702,standard,low,False,high,3,normal,shallow,21,difficult,14,strip,37,344,standard,flat,164276000.0,708
residential,Mysore,5700,2,43,293,standard,low,False,low,10,marshy,moderate,41,moderate,10,raft,11,34,premium,hilly,43235000.0,292
commercial,Thane,27000,1,89,730,standard,medium,False,high,1,clay,deep,0,difficult,11,strip,35,496,basic,steep_slope,164841000.0,775
commercial,Gurgaon,6900,5,36,269,economy,high,False,high,7,normal,shallow,4,easy,12,pile,10,92,standard,steep_slope,61957000.0,272
residential,Vijayawada,5300,2,42,184,standard,medium,False,moderate,10,sandy,shallow,0,easy,14,isolated,10,15,premium,flat,25187000.0,171
commercial,Gurgaon,37000,8,422,730,economy,medium,True,low,6,rocky,deep,23,easy,10,raft,47,356,standard,gentle_slope,396878000.0,742
residential,Chandigarh,3100,1,19,107,economy,medium,False,moderate,9,normal,moderate,5,moderate,12,isolated,7,11,basic,gentle_slope,7245000.0,103
industrial,Bangalore,12900,2,48,303,standard,low,False,low,6,sandy,moderate,0,easy,12,raft,6,435,standard,gentle_slope,61977000.0,297
industrial,Delhi,39000,1,181,730,economy,high,False,high,8,normal,shallow,0,easy,18,strip,18,1262,basic,flat,145600000.0,722
infrastructure,Kolkata,15700,1,114,571,standard,high,False,high,11,normal,shallow,6,easy,10,strip,9,91,basic,flat,72637000.0,589
residential,Delhi,7800,3,79,524,premium,low,True,high,12,normal,deep,12,easy,10,raft,15,50,premium,hilly,72595000.0,517
residential,Coimbatore,7100,2,36,374,standard,medium,False,moderate,7,clay,shallow,25,easy,12,raft,10,46,premium,flat,39550000.0,365
infrastructure,Chandigarh,2700,1,20,112,standard,medium,False,moderate,6,normal,deep,18,easy,10,strip,3,10,standard,flat,13889000.0,100
residential,Ranchi,3900,3,26,177,standard,high,False,moderate,5,normal,moderate,36,easy,12,isolated,8,22,premium,hilly,33578000.0,179
residential,Varanasi,1000,3,9,74,premium,medium,False,moderate,14,marshy,moderate,52,moderate,9,raft,1,3,premium,flat,10587000.0,59
residential,Vellore,6500,3,58,300,standard,low,False,moderate,9,normal,deep,0,moderate,10.5,raft,9,25,standard,steep_slope,24473000.0,285
residential,Delhi,7200,1,56,375,economy,low,False,moderate,3,rocky,moderate,36,moderate,10,isolated,12,27,basic,steep_slope,22411000.0,384
residential,Madurai,6800,3,54,429,premium,medium,False,moderate,8,normal,moderate,21,moderate,10,strip,13,27,standard,flat,32433000.0,428
residential,Ahmedabad,3600,4,27,210,economy,medium,False,high,8,marshy,shallow,22,difficult,10.5,raft,7,12,standard,gentle_slope,22218000.0,233
residential,Jaipur,7800,3,61,390,economy,medium,False,high,9,rocky,deep,0,easy,12,raft,12,45,basic,flat,22840000.0,392
infrastructure,Bangalore,18100,1,104,730,standard,high,False,low,15,normal,moderate,55,remote,10,isolated,14,89,premium,steep_slope,245038000.0,722
industrial,Thiruvananthapuram,69100,3,223,730,standard,low,False,moderate,4,sandy,shallow,5,easy,14,strip,34,3109,standard,gentle_slope,280589000.0,745
residential,Pondicherry,5100,4,53,272,standard,low,False,high,2,sandy,moderate,12,easy,10,isolated,9,31,premium,flat,35665000.0,279
residential,Hubli,5500,2,44,323,standard,medium,False,low,8,sandy,moderate,39,difficult,12,raft,9,24,standard,gentle_slope,25614000.0,331
commercial,Nashik,22600,7,180,730,standard,high,True,moderate,9,marshy,moderate,25,moderate,14,pile,28,265,basic,flat,326416000.0,751
infrastructure,Amritsar,7500,1,45,266,economy,medium,False,moderate,12,rocky,shallow,7,easy,18,isolated,5,19,standard,steep_slope,33042000.0,267
residential,Bhubaneswar,6000,1,38,285,standard,low,False,high,11,rocky,high,29,moderate,11,isolated,9,32,standard,gentle_slope,25574000.0,274
industrial,Bhubaneswar,39600,2,139,730,standard,medium,True,high,13,rocky,deep,0,moderate,12,isolated,19,1049,premium,hilly,261360000.0,746
commercial,Srinagar,11600,8,75,704,standard,high,False,high,11,normal,high,1,easy,14,raft,15,165,standard,gentle_slope,166108000.0,736
residential,Patna,1500,4,8,81,economy,medium,False,high,14,normal,moderate,10,moderate,12,raft,3,11,basic,gentle_slope,4186000.0,91
residential,Noida,6900,4,73,331,economy,low,False,high,8,clay,deep,24,moderate,12,raft,10,47,basic,gentle_slope,28312000.0,323
residential,Gandhinagar,4000,4,44,295,standard,medium,False,moderate,8,rocky,deep,0,easy,11,strip,7,28,standard,flat,23479000.0,287
industrial,Tirupati,75000,2,178,730,standard,high,False,moderate,9,sandy,deep,0,moderate,14,isolated,36,2937,standard,gentle_slope,290794000.0,728
infrastructure,Gandhinagar,20100,1,149,680,standard,high,True,moderate,10,normal,moderate,53,remote,10,strip,13,102,premium,flat,210233000.0,703
commercial,Srinagar,15000,2,56,409,economy,medium,False,high,3,normal,deep,27,moderate,14,strip,17,140,basic,steep_slope,71223000.0,402
residential,Nashik,5200,1,38,211,standard,low,False,high,4,normal,moderate,0,moderate,16,strip,7,35,standard,flat,14421000.0,196
commercial,Mumbai,41400,1,160,730,standard,medium,False,high,5,sandy,deep,33,difficult,14,isolated,50,596,basic,flat,235955000.0,736
commercial,Chandigarh,25500,4,130,730,standard,medium,False,moderate,9,normal,deep,6,moderate,10,raft,33,401,basic,gentle_slope,124819000.0,718
commercial,Varanasi,17500,7,186,730,premium,low,True,moderate,12,normal,deep,39,moderate,12,strip,21,327,premium,gentle_slope,255920000.0,720
residential,Jodhpur,4900,1,22,166,economy,medium,False,moderate,5,sandy,moderate,0,moderate,10,strip,9,15,standard,flat,12328000.0,165
industrial,Visakhapatnam,15200,3,89,420,standard,medium,False,high,4,rocky,moderate,13,easy,14,isolated,8,340,standard,flat,68942000.0,426
residential,Mysore,6000,1,26,247,standard,medium,False,low,6,marshy,high,1,easy,12,pile,10,36,standard,flat,29548000.0,253
infrastructure,Navi Mumbai,19700,1,111,730,economy,medium,False,high,6,sandy,moderate,0,difficult,10.5,strip,14,85,standard,gentle_slope,104716000.0,750
commercial,Varanasi,41400,5,252,730,standard,low,False,moderate,4,clay,moderate,23,difficult,11,pile,50,822,standard,gentle_slope,316578000.0,726
residential,Gandhinagar,4700,4,27,252,premium,low,True,low,8,marshy,moderate,23,moderate,11,pile,7,29,premium,flat,68379000.0,259
residential,Kochi,5600,3,41,277,standard,medium,False,high,9,normal,deep,65,difficult,10.5,strip,10,43,premium,hilly,58875000.0,277
residential,Srinagar,2800,3,22,119,standard,low,False,high,7,normal,deep,0,easy,10,raft,4,15,standard,hilly,13085000.0,116
residential,Tirupati,5500,3,33,302,standard,medium,False,moderate,10,normal,shallow,6,easy,10.5,strip,11,40,premium,flat,22884000.0,302
residential,Warangal,7800,4,75,533,economy,medium,False,moderate,1,sandy,shallow,0,easy,14,isolated,13,41,basic,flat,19951000.0,534
residential,Aurangabad,2400,2,16,129,economy,high,False,moderate,4,clay,moderate,38,moderate,11,raft,4,14,standard,flat,10219000.0,130
residential,Bangalore,6900,1,51,301,economy,low,False,low,9,normal,moderate,19,moderate,9,isolated,11,23,standard,flat,15023000.0,301
infrastructure,Jabalpur,21400,2,161,730,economy,high,False,moderate,11,marshy,moderate,0,easy,9,raft,16,65,basic,flat,116911000.0,722
residential,Warangal,5800,3,35,226,standard,medium,False,moderate,4,normal,deep,11,easy,10.5,raft,11,22,basic,flat,16133000.0,223
industrial,Nagpur,28800,1,68,730,economy,high,False,moderate,11,normal,shallow,0,easy,12,isolated,13,957,standard,flat,77937000.0,756
residential,Hyderabad,2100,3,16,137,standard,medium,False,moderate,8,marshy,moderate,22,easy,11,pile,2,7,standard,hilly,19983000.0,163
residential,Vadodara,4500,1,18,231,standard,high,False,moderate,6,clay,deep,23,difficult,11,pile,9,17,standard,gentle_slope,28652000.0,227
residential,Mangalore,2500,4,18,164,standard,low,False,high,2,clay,shallow,20,moderate,9,pile,3,16,premium,gentle_slope,22088000.0,173
residential,Noida,3600,2,20,220,economy,low,False,high,4,normal,moderate,21,difficult,10.5,strip,6,20,basic,gentle_slope,12358000.0,215
infrastructure,Bangalore,20100,1,109,730,standard,high,False,low,6,normal,shallow,23,easy,10,raft,12,98,premium,flat,241197000.0,741
residential,Faridabad,5400,2,42,240,economy,medium,False,high,8,rocky,moderate,21,moderate,10,isolated,11,20,basic,flat,18290000.0,249
commercial,Thane,24000,6,169,730,standard,medium,False,high,8,clay,moderate,2,easy,11,pile,30,410,premium,flat,330383000.0,744
residential,Bangalore,2900,2,13,150,standard,high,False,low,9,normal,moderate,0,easy,14,strip,3,8,premium,gentle_slope,18963000.0,154
residential,Pondicherry,4900,3,50,332,standard,medium,False,high,7,marshy,high,34,moderate,10,raft,8,16,standard,hilly,43778000.0,339
infrastructure,Surat,5900,1,44,196,standard,medium,False,high,7,rocky,moderate,0,difficult,14,raft,4,15,standard,flat,35386000.0,184
residential,Aurangabad,4200,2,36,256,standard,low,False,moderate,8,clay,moderate,7,easy,10.5,raft,9,28,standard,steep_slope,18941000.0,241
residential,Pune,7100,3,61,462,economy,medium,False,moderate,5,rocky,moderate,58,moderate,10.5,isolated,11,35,basic,flat,28001000.0,459
infrastructure,Surat,13000,1,73,405,standard,medium,False,high,10,clay,moderate,43,moderate,10,raft,8,26,premium,flat,110211000.0,415
residential,Mysore,6300,3,37,364,economy,medium,False,low,11,sandy,shallow,21,moderate,12,isolated,12,42,basic,flat,16199000.0,359
industrial,Shimla,51400,1,178,730,standard,high,False,high,2,sandy,shallow,11,difficult,12,strip,24,2097,standard,gentle_slope,271906000.0,750
industrial,Tirupati,68100,1,302,730,premium,high,False,moderate,11,normal,moderate,1,easy,16,isolated,35,2927,luxury,flat,689188000.0,720
residential,Thanjavur,3300,2,26,194,premium,medium,False,moderate,13,rocky,deep,37,moderate,10.5,isolated,7,21,premium,gentle_slope,22149000.0,187
commercial,Amritsar,21800,5,120,730,standard,low,False,moderate,6,normal,moderate,18,easy,11,raft,27,421,premium,gentle_slope,139595000.0,737
residential,Kanpur,5200,1,22,260,premium,medium,False,moderate,8,sandy,deep,0,easy,11,strip,10,21,premium,steep_slope,38097000.0,258
residential,Noida,5200,4,34,296,standard,medium,False,high,8,normal,deep,29,moderate,10.5,raft,9,29,standard,gentle_slope,30043000.0,289
residential,Thanjavur,1900,1,10,84,standard,low,False,moderate,10,normal,shallow,34,moderate,10.5,raft,4,14,premium,gentle_slope,9372000.0,85
residential,Chennai,3400,4,29,159,economy,medium,False,high,2,normal,high,6,moderate,10,raft,5,12,basic,flat,14042000.0,164
residential,Mysore,6800,2,42,414,standard,low,False,low,3,sandy,shallow,28,easy,10.5,strip,11,45,standard,steep_slope,30075000.0,412
infrastructure,Delhi,12900,2,113,576,standard,medium,False,high,7,sandy,moderate,20,easy,10.5,isolated,7,59,standard,gentle_slope,70636000.0,561
commercial,Ludhiana,34800,3,154,730,premium,medium,False,moderate,7,normal,moderate,22,difficult,11,strip,43,366,luxury,flat,566313000.0,732
commercial,Hyderabad,31300,5,236,730,economy,medium,False,moderate,8,sandy,deep,0,moderate,12,pile,39,368,basic,flat,141750000.0,717
commercial,Navi Mumbai,11500,7,123,670,standard,low,False,high,1,normal,moderate,0,difficult,16,raft,16,187,standard,gentle_slope,130217000.0,672
commercial,Noida,7600,5,59,433,premium,medium,False,low,9,sandy,deep,8,moderate,12,pile,11,104,premium,gentle_slope,139421000.0,439
commercial,Jamshedpur,22000,4,123,730,standard,high,True,moderate,13,normal,shallow,9,easy,12,isolated,26,226,standard,gentle_slope,138787000.0,737
residential,Trichy,1000,4,7,81,premium,low,False,high,13,normal,deep,23,difficult,10.5,isolated,1,7,premium,flat,8176000.0,84
residential,Ludhiana,1100,2,5,67,standard,medium,False,moderate,2,normal,deep,0,easy,11,raft,3,7,premium,flat,4969000.0,82
residential,Gurgaon,5000,2,26,278,standard,high,False,high,6,sandy,high,1,easy,10,strip,7,16,standard,flat,26345000.0,296
residential,Thane,7900,2,37,361,standard,low,False,high,12,normal,moderate,26,easy,10,isolated,13,48,premium,flat,34872000.0,352
residential,Trichy,2600,4,27,127,economy,high,False,moderate,12,rocky,deep,16,difficult,16,raft,3,13,basic,hilly,16170000.0,123
residential,Thrissur,6600,1,40,246,economy,high,False,high,3,clay,shallow,35,moderate,10.5,raft,10,40,basic,hilly,28237000.0,268
industrial,Madurai,40000,3,174,730,standard,high,False,moderate,11,clay,moderate,21,moderate,18,pile,21,1719,premium,steep_slope,509779000.0,756
residential,Trichy,5500,3,42,297,premium,medium,False,moderate,2,rocky,moderate,17,moderate,10,strip,9,29,luxury,gentle_slope,63552000.0,304
residential,Kolkata,5200,2,35,194,standard,high,False,moderate,11,rocky,deep,5,easy,11,raft,9,32,standard,steep_slope,39309000.0,209
industrial,Rajkot,16500,3,102,585,economy,medium,False,moderate,5,normal,deep,39,difficult,14,isolated,9,425,basic,gentle_slope,43857000.0,588
commercial,Kanpur,8800,1,45,308,economy,high,False,moderate,3,normal,deep,28,moderate,10,raft,12,122,standard,flat,34914000.0,300
infrastructure,Jamshedpur,22600,2,104,730,standard,medium,False,moderate,3,sandy,deep,38,moderate,11,isolated,14,69,standard,steep_slope,116829000.0,730
residential,Jamshedpur,900,2,6,67,economy,medium,False,moderate,8,normal,moderate,0,moderate,12,strip,1,4,standard,flat,1990000.0,68
residential,Indore,1800,2,9,67,premium,low,True,moderate,1,rocky,moderate,30,easy,9,strip,2,9,luxury,flat,18212000.0,99
industrial,Vijayawada,75400,1,343,730,standard,high,False,moderate,15,sandy,deep,0,moderate,18,pile,39,1696,standard,flat,447606000.0,723
residential,Salem,4800,1,21,192,premium,medium,False,high,7,sandy,deep,7,difficult,16,isolated,8,22,premium,hilly,33999000.0,212
commercial,Bhopal,35600,1,139,730,economy,medium,False,moderate,5,clay,shallow,4,easy,12,raft,46,494,basic,flat,124497000.0,721
industrial,Vellore,77600,3,354,730,standard,medium,False,moderate,1,rocky,high,20,moderate,20,isolated,37,2767,basic,flat,422670000.0,749
residential,Salem,4000,3,27,210,standard,high,False,low,12,clay,deep,32,moderate,10,pile,8,24,premium,flat,36291000.0,215
industrial,Udaipur,57700,2,307,730,standard,medium,False,low,5,rocky,deep,0,easy,18,raft,29,2758,standard,gentle_slope,283800000.0,737
commercial,Thrissur,33400,8,245,730,economy,low,False,moderate,1,normal,shallow,35,moderate,12,raft,43,580,basic,steep_slope,228168000.0,745
residential,Navi Mumbai,6800,4,44,316,standard,medium,False,high,8,marshy,moderate,35,moderate,10.5,pile,12,44,basic,flat,45868000.0,333
residential,Gandhinagar,7500,1,57,298,standard,high,False,moderate,10,marshy,deep,0,easy,12,raft,12,54,standard,flat,37201000.0,294
residential,Hubli,4500,1,32,150,standard,high,False,low,4,rocky,moderate,0,easy,9,isolated,7,32,standard,gentle_slope,19263000.0,138
commercial,Trichy,49000,3,208,730,premium,high,True,moderate,5,marshy,deep,21,difficult,16,pile,50,461,luxury,flat,2018813000.0,759
commercial,Gandhinagar,9200,1,44,307,standard,medium,True,moderate,4,clay,shallow,18,moderate,12,raft,13,147,basic,steep_slope,50308000.0,321
residential,Coimbatore,2000,4,15,92,standard,high,False,low,10,rocky,deep,19,moderate,10.5,isolated,5,10,basic,gentle_slope,9903000.0,111
residential,Shimla,5600,1,38,235,standard,medium,False,high,12,sandy,deep,19,moderate,10,isolated,11,25,standard,hilly,23774000.0,231
residential,Vellore,6400,2,43,372,premium,medium,False,moderate,10,rocky,moderate,0,easy,12,raft,10,33,premium,flat,44317000.0,376
residential,Pune,5000,4,36,246,standard,high,False,moderate,5,normal,moderate,0,easy,11,isolated,8,36,basic,flat,23049000.0,260
residential,Noida,900,2,8,67,standard,low,False,high,5,rocky,moderate,0,difficult,10,strip,3,6,basic,flat,3092000.0,52
residential,Thane,4800,4,43,331,economy,low,True,high,5,normal,deep,8,moderate,11,raft,10,32,basic,gentle_slope,17949000.0,332
infrastructure,Hubli,23200,2,126,730,premium,low,False,low,11,normal,deep,17,difficult,10,strip,17,58,premium,gentle_slope,253534000.0,727
residential,Thanjavur,3700,3,28,229,standard,low,False,low,11,normal,deep,50,moderate,10.5,strip,7,25,premium,gentle_slope,18087000.0,227
commercial,Noida,10700,4,81,435,premium,low,False,high,7,clay,deep,0,easy,10,raft,15,184,standard,steep_slope,117002000.0,420
residential,Aurangabad,6400,3,59,424,premium,high,False,moderate,8,normal,deep,17,difficult,10,isolated,9,40,luxury,steep_slope,75330000.0,434
industrial,Jabalpur,58000,1,242,730,standard,high,False,moderate,11,normal,high,19,easy,16,strip,29,917,premium,flat,281697000.0,746
commercial,Trichy,49800,3,293,730,standard,medium,False,moderate,7,clay,moderate,5,easy,12,raft,50,929,standard,flat,250425000.0,731
residential,Navi Mumbai,5400,3,31,296,standard,medium,False,low,4,normal,deep,2,easy,18,strip,11,16,basic,gentle_slope,24122000.0,281
industrial,Indore,64000,3,331,730,standard,medium,False,moderate,4,normal,moderate,46,moderate,18,raft,31,2899,standard,gentle_slope,370811000.0,737
residential,Jabalpur,5600,1,22,241,economy,medium,False,moderate,6,normal,deep,25,difficult,10.5,isolated,9,23,basic,flat,9814000.0,247
industrial,Gandhinagar,77500,2,415,730,premium,medium,True,moderate,5,marshy,shallow,23,moderate,18,raft,40,2372,luxury,flat,1521362000.0,758
industrial,Vijayawada,75000,3,235,730,standard,medium,True,high,6,normal,moderate,21,moderate,14,strip,38,2792,premium,gentle_slope,490620000.0,746
commercial,Chennai,11100,6,68,627,premium,high,False,high,9,sandy,deep,0,easy,12,raft,12,189,luxury,gentle_slope,285894000.0,612
residential,Thanjavur,6300,2,55,361,economy,low,False,moderate,7,clay,shallow,4,easy,12,raft,11,40,standard,flat,16387000.0,346
infrastructure,Meerut,20700,1,88,620,standard,medium,False,moderate,12,normal,deep,12,moderate,9,isolated,12,90,standard,flat,85071000.0,605
residential,Kolkata,7200,2,47,262,standard,high,False,high,13,normal,deep,24,difficult,10.5,strip,14,29,standard,gentle_slope,34919000.0,254
residential,Hubli,1900,1,12,73,standard,medium,False,low,3,sandy,moderate,2,easy,10.5,strip,4,9,basic,gentle_slope,5142000.0,58
commercial,Aligarh,25000,5,228,730,standard,medium,False,moderate,14,marshy,moderate,40,moderate,11,pile,32,442,standard,flat,218105000.0,722
residential,Visakhapatnam,1900,4,15,100,premium,high,False,high,6,normal,deep,26,moderate,12,strip,5,14,standard,flat,18347000.0,101
residential,Pune,5600,4,52,259,standard,medium,False,high,9,normal,high,0,moderate,10,strip,9,25,standard,gentle_slope,32771000.0,260
residential,Chandigarh,3700,2,24,169,economy,low,False,moderate,4,normal,moderate,13,easy,9,isolated,7,23,basic,flat,7666000.0,161
residential,Bhopal,2900,1,16,116,premium,high,False,moderate,11,sandy,shallow,0,easy,10.5,strip,4,21,premium,gentle_slope,19813000.0,122
industrial,Thanjavur,59900,2,198,730,premium,high,False,moderate,8,sandy,deep,0,easy,20,strip,31,2953,premium,flat,428060000.0,752
